Rk,Player,Age,Team,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Awards,-9999
1,Brandon Aubrey,29,DAL,K,17,0,0,0,4,4,10,8,16,14,17,14,47,40,65,85.1,30,30,100.0,88,5341,43,48.9,61,PBAP-2,AubrBr00
2,Chris Boswell,33,PIT,K,17,0,0,0,9,9,12,12,8,7,15,13,44,41,57,93.2,35,35,100.0,90,5713,49,54.4,64,PBAP-1,BoswCh00
3,Cameron Dicker,24,LAC,K,17,0,1,1,9,9,9,9,12,11,11,9,42,39,59,92.9,36,33,91.7,94,5962,65,69.1,63,,DickCa00
4,Ka'imi Fairbairn,30,HOU,K,17,0,0,0,10,8,11,11,5,4,16,13,42,36,59,85.7,36,34,94.4,88,5426,42,47.7,62,,FairKa01
5,Jason Sanders,29,MIA,K,17,0,0,0,7,7,13,13,7,5,14,12,41,37,57,90.2,28,26,92.9,86,5421,66,76.7,63,,SandJa00
6,Daniel Carlson,29,LVR,K,17,0,0,0,10,10,11,11,8,6,11,7,40,34,54,85.0,25,23,92.0,80,4850,51,63.8,61,,CarlDa00
7,Matt Gay,30,IND,K,16,0,0,0,9,9,12,12,7,7,9,3,37,31,56,83.8,33,33,100.0,82,5280,68,82.9,64,,GayxMa00
8,Jake Elliott,29,PHI,K,17,0,0,0,9,9,11,10,9,8,7,1,36,28,50,77.8,48,47,97.9,11,714,9,81.8,65,,ElliJa03
9,Joshua Karty,22,LAR,K,17,0,0,0,11,10,10,9,6,4,7,6,34,29,58,85.3,36,32,88.9,7,399,5,71.4,57,,KartJo00
10,Younghoe Koo,30,ATL,K,14,0,0,0,7,7,7,5,11,7,9,6,34,25,58,73.5,26,26,100.0,15,969,5,33.3,65,,KooxYo00
11,Wil Lutz,30,DEN,K,17,0,0,0,2,2,14,13,11,11,7,5,34,31,55,91.2,46,46,100.0,95,6022,70,73.7,63,,LutzWi00
12,Jake Moody,25,SFO,K,14,0,0,0,9,9,5,5,11,6,9,4,34,24,53,70.6,33,32,97.0,68,4256,49,72.1,63,,MoodJa00
13,Joey Slye,28,NWE,K,17,0,0,0,6,5,11,10,7,5,9,6,33,26,63,78.8,26,25,96.2,70,4348,46,65.7,62,,SlyeJo00
14,Chase McLaughlin,28,TAM,K,17,0,0,0,11,11,7,7,4,4,10,8,32,30,56,93.8,56,54,96.4,7,351,5,71.4,50,,McLaCh00
15,Chad Ryland,25,ARI,K,13,0,0,0,6,6,11,11,11,7,4,4,32,28,58,87.5,27,26,96.3,67,4374,54,80.6,65,,RylaCh00
16,Blake Grupe,26,NOR,K,17,0,0,0,4,4,11,10,8,7,8,6,31,27,57,87.1,33,31,93.9,78,4975,21,26.9,64,,GrupBl00
17,Jason Myers,33,SEA,K,17,0,0,0,4,4,6,6,8,7,12,9,30,26,59,86.7,40,37,92.5,86,5524,46,53.5,64,,MyerJa00
18,Will Reichard,23,MIN,K,13,0,0,0,5,5,7,6,7,5,11,8,30,24,58,80.0,38,38,100.0,74,4720,62,83.8,64,,ReicWi00
19,Austin Seibert,28,WAS,K,9,0,0,0,10,10,7,7,8,8,5,2,30,27,55,90.0,24,22,91.7,60,3678,14,23.3,61,,SeibAu00
20,Justin Tucker,35,BAL,K,17,0,0,0,4,4,7,7,8,5,11,6,30,22,56,73.3,62,60,96.8,95,6069,68,71.6,64,,TuckJu00
21,Tyler Bass,27,BUF,K,17,0,0,0,7,6,7,7,11,7,4,4,29,24,61,82.8,64,59,92.2,103,6514,75,72.8,63,,BassTy00
22,Jake Bates,25,DET,K,17,0,0,0,3,3,10,10,8,7,8,6,29,26,58,89.7,67,64,95.5,110,7053,85,77.3,64,,BateJa00
23,Cam Little,21,JAX,K,17,0,0,0,8,8,6,6,9,8,6,5,29,27,59,93.1,27,27,100.0,76,4860,65,85.5,64,,LittCa00
24,Dustin Hopkins,34,CLE,K,16,0,0,0,4,3,7,6,8,5,8,4,27,18,56,66.7,20,17,85.0,62,3911,36,58.1,63,,HopkDu00
25,Eddy Piñeiro,29,CAR,K,17,0,0,0,7,7,9,8,8,6,2,1,26,22,53,84.6,35,33,94.3,72,4457,32,44.4,62,,PineEd00
26,Harrison Butker,29,KAN,K,13,0,1,1,8,7,7,7,4,4,5,2,25,21,53,84.0,31,29,93.5,62,3988,49,79.0,64,,ButkHa00
27,Cairo Santos,33,CHI,K,17,0,0,0,4,4,4,4,8,5,9,8,25,21,54,84.0,26,25,96.2,71,4463,38,53.5,63,,SantCa01
28,Nick Folk,40,TEN,K,14,0,0,0,5,5,2,2,9,8,6,6,22,21,56,95.5,25,25,100.0,58,3666,37,63.8,63,,FolkNi20
29,Evan McPherson,25,CIN,K,12,0,0,0,6,6,4,4,5,3,7,3,22,16,56,72.7,38,37,97.4,70,4353,54,77.1,62,,McPhEv00
30,Brandon McManus,33,GNB,K,11,0,0,0,5,5,9,9,4,3,3,3,21,20,55,95.2,30,30,100.0,61,3875,27,44.3,64,,McMaBr01
31,Brayden Narveson,25,2TM,K,7,0,0,0,4,4,4,3,9,5,1,0,18,12,47,66.7,18,18,100.0,38,2443,18,47.4,64,,NarvBr00
31,Brayden Narveson,25,GNB,K,6,0,0,0,4,4,4,3,9,5,0,0,17,12,47,70.6,16,16,100.0,33,2118,17,51.5,64,,NarvBr00
31,Brayden Narveson,25,TEN,K,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,0.0,2,2,100.0,5,325,1,20.0,65,,NarvBr00
32,Greg Joseph,30,3TM,K,8,0,0,0,5,5,5,5,8,5,2,1,20,16,52,80.0,11,11,100.0,38,2413,24,63.2,64,,JoseGr00
32,Greg Joseph,30,NYG,K,6,0,0,0,3,3,5,5,7,4,1,1,16,13,52,81.3,6,6,100.0,27,1758,23,85.2,65,,JoseGr00
32,Greg Joseph,30,WAS,K,1,0,0,0,1,1,0,0,1,1,1,0,3,2,41,66.7,2,2,100.0,5,318,0,0.0,64,,JoseGr00
32,Greg Joseph,30,NYJ,K,1,0,0,0,1,1,0,0,0,0,0,0,1,1,20,100.0,3,3,100.0,6,337,1,16.7,56,,JoseGr00
33,Greg Zuerlein,37,NYJ,K,8,0,0,0,4,4,6,4,4,1,1,0,15,9,40,60.0,14,13,92.9,33,2119,28,84.8,64,,ZuerGr00
34,John Parker Romo,27,MIN,K,4,0,0,0,3,3,3,3,5,4,1,1,12,11,55,91.7,8,7,87.5,23,1488,19,82.6,65,,RomoJo00
35,Graham Gano,37,NYG,K,10,0,0,0,2,2,2,1,5,4,2,2,11,9,53,81.8,15,15,100.0,35,2240,24,68.6,64,,GanoGr44
36,Cade York,23,2TM,K,6,0,0,0,5,5,3,2,3,1,2,1,13,9,59,69.2,17,16,94.1,32,1968,21,65.6,62,,YorkCa00
36,Cade York,23,WAS,K,1,0,0,0,0,0,0,0,1,0,1,0,2,0,,0.0,2,2,100.0,4,198,1,25.0,50,,YorkCa00
36,Cade York,23,CIN,K,5,0,0,0,5,5,3,2,2,1,1,1,11,9,59,81.8,15,14,93.3,28,1770,20,71.4,63,,YorkCa00
37,Anders Carlson,26,2TM,K,7,0,0,0,3,3,2,2,7,5,3,3,15,13,58,86.7,15,12,80.0,36,2248,13,36.1,62,,CarlAn00
37,Anders Carlson,26,SFO,K,2,0,0,0,1,1,0,0,2,2,2,2,5,5,55,100.0,4,3,75.0,10,589,2,20.0,59,,CarlAn00
37,Anders Carlson,26,NYJ,K,5,0,0,0,2,2,2,2,5,3,1,1,10,8,58,80.0,11,9,81.8,26,1659,11,42.3,64,,CarlAn00
38,Matthew Wright,28,3TM,K,5,0,0,0,3,3,8,8,3,3,2,1,16,15,50,93.8,6,6,100.0,21,1245,3,14.3,59,,WrigMa00
38,Matthew Wright,28,SFO,K,1,0,0,0,1,1,1,1,1,1,0,0,3,3,41,100.0,3,3,100.0,8,503,1,12.5,63,,WrigMa00
38,Matthew Wright,28,KAN,K,2,0,0,0,1,1,4,4,2,2,2,1,9,8,50,88.9,2,2,100.0,6,378,1,16.7,63,,WrigMa00
38,Matthew Wright,28,TEN,K,2,0,0,0,1,1,3,3,0,0,0,0,4,4,39,100.0,1,1,100.0,7,364,1,14.3,52,,WrigMa00
39,Zane Gonzalez,29,WAS,K,6,0,0,0,0,0,1,1,5,4,1,0,7,5,48,71.4,19,19,100.0,33,2024,10,30.3,61,,GonzZa00
40,Riley Patterson,25,3TM,K,5,0,0,0,0,0,3,3,1,0,3,1,7,4,52,57.1,16,16,100.0,6,385,2,33.3,64,,PattRi01
40,Riley Patterson,25,NYJ,K,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,3,100.0,4,255,0,0.0,64,,PattRi01
40,Riley Patterson,25,CLE,K,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,100.0,2,130,2,100.0,65,,PattRi01
40,Riley Patterson,25,ATL,K,3,0,0,0,0,0,3,3,1,0,3,1,7,4,52,57.1,12,12,100.0,0,0,0,,,,PattRi01
41,Matt Prater,40,ARI,K,4,0,0,0,1,1,1,1,3,3,1,1,6,6,57,100.0,10,10,100.0,20,1248,17,85.0,62,,PratMa20
42,Spencer Shrader,25,3TM,K,4,0,0,0,2,2,1,1,2,2,0,0,5,5,45,100.0,9,9,100.0,18,1170,17,94.4,65,,ShraSp00
42,Spencer Shrader,25,IND,K,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,3,100.0,5,325,5,100.0,65,,ShraSp00
42,Spencer Shrader,25,NYJ,K,1,0,0,0,1,1,0,0,1,1,0,0,2,2,45,100.0,0,0,,3,195,3,100.0,65,,ShraSp00
42,Spencer Shrader,25,KAN,K,2,0,0,0,1,1,1,1,1,1,0,0,3,3,41,100.0,6,6,100.0,10,650,9,90.0,65,,ShraSp00
43,Jude McAtamney,24,NYG,K,1,0,0,0,0,0,1,1,0,0,0,0,1,1,31,100.0,1,1,100.0,5,325,4,80.0,65,,McAtJu00
44,Mitch Wishnowsky,32,SFO,P,9,0,0,0,1,1,0,0,0,0,0,0,1,1,26,100.0,0,0,,3,77,0,0.0,26,,WishMi00
45,Jake Bailey,27,MIA,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,0,0,0.0,0,,BailJa00
46,Jack Browning,23,TAM,P,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,29,1856,19,65.5,64,,BrowJa10
47,Jake Camarda,25,TAM,P,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,24,1549,18,75.0,65,,CamaJa00
48,Logan Cooke,29,JAX,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,22,0,0.0,22,PBAP-2,CookLo00
49,Ethan Evans,23,LAR,P,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,79,5084,66,83.5,64,,EvanEt00
50,Trenton Gill,25,TAM,P,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,46,2936,38,82.6,64,,GillTr01
51,Jamie Gillan,27,NYG,P,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0.0,3,155,2,66.7,52,,GillJa00
52,Matthew Hayball,27,NOR,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,3,0,0.0,3,,HaybMa00
53,Johnny Hekker,34,CAR,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,4,184,0,0.0,46,,HekkJo00
54,Braden Mann,27,PHI,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,86,5457,57,66.3,64,,MannBr01
55,Thomas Morstead,38,NYJ,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,4,253,1,25.0,63,,MorsTh00
56,Bradley Pinion,30,ATL,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,75,4805,57,76.0,64,,PiniBr00
57,Justin Reid,27,KAN,SS,16,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,9,556,1,11.1,62,,ReidJu00
58,Rigoberto Sanchez,30,IND,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,10,0,0.0,10,,SancRi00
59,Jordan Stout,26,BAL,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,10,663,8,80.0,66,,StouJo00
60,Tory Taylor,27,CHI,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,16,0,0.0,16,,TaylTo01
61,Daniel Whelan,25,GNB,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,12,0,0.0,12,,WhelDa00
62,Ryan Wright,24,MIN,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,13,0,0.0,13,,WrigRy00
,League Average,,,,,,,,,,,,,,,,,,,84.0,,,95.8,,,,64.3,63,,-9999
